LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,AnnualFlow-cf,d10-Acenaphthene - ng/L,d10-Phenanthrene - ng/L,d12-Chrysene - ng/L,d12-Perylene - ng/L,d8-Naphthalene - ng/L,PCB030 - ng/L,PCB112 - ng/L,PCB198 - ng/L,TCMX - ng/L,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,Field Specific Conductivity,Field Dissolved Oxygen,Field pH,Field Temperature,Field Turbidity - NTU,TN - mg/L,GlobalID_tribarea,area_acres,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,LOCDESC,OBJECTID_hydstra,station,Rain_Gage_Total,Composite Begin,Composite End,Rain_Event_Total,RC_Event,RC_Annual,RC_M,RC_CF,RCandCF,RC_WMAcf,RC_WMAcf_M,Stormwater Volume (acre-ft)_RC,Stormwater Volume (acre-ft)_RC_M,Stormwater Volume (acre-ft)_RC_Event,Stormwater Volume (acre-ft)_RC_WMAcf,Stormwater Volume (acre-ft)_RC_WMAcf_M
OSDEV,75,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),2396119.7713690377,55.00756097054355,9.932003015302238,2020-12-29T11:43:00Z,1526008,Total,Composite,12/28/2020 01:33:00,12/29/2020 00:33:00,131073.60000000006,2852576.999999999,62,78,64,91,50,69,97,61,68,<2,<2,<2,<2,<2,<2,6.57,<5,<5,3.12,<10,9.4600000000000009,7.59,10.9,36.299999999999997,5.91,<5,<5,<5,<5,3.6,<4,<2,<2,<1,47.5,<2,<1,6.08,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,18.6,<5,<5,<5,13.4,<5,<2,<5,<2,<10,<5,13.3,16.8,<10,40.3,<4,<6,<25,<2,<2,5,3,56.2,15,47,13,214,6500,4.5,17.8,130,0.092,6.5000000000000002E-2,21,5.0999999999999996,<0.2,<0.2,16,250,0.57,78,1.8,4.6,0.33,7.62,1,780,120,16.1,430,84,310,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3999999999999995,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,4.3100000000000005,2020-12-28,2020-12-29,1.4200000000000002,0.04591293923598598,0.3292064373529827,0.43090185850815593,0.7639940066462991,0.16578669944224692,0.13674019913737906,0.2158617833511241,4.287243462410022,85.71553762870161,9.133059403251469,2.7015600221215346,42.93949642614898
OSDEV,75,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),2396119.7713690377,55.00756097054355,9.932003015302238,2020-12-29T11:43:00Z,1526009,Dissolved,Composite,12/28/2020 01:33:00,12/29/2020 00:33:00,131074,2852576.999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,<0.2,NA,0.87,8.9,NA,NA,58,<0.2,NA,31,NA,<0.05,3.8,4.8,<0.2,<0.2,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,4.3100000000000005,2020-12-28,2020-12-29,1.4200000000000002,0.0459130793494466,0.3292064373529827,0.43090185850815593,0.7639940066462991,0.16578669944224692,0.13674019913737906,0.2158617833511241,4.287243462410022,85.71553762870161,9.13308727479662,2.7015600221215346,42.93949642614898
OSDEV,75,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),2659635.634525859,61.05707697659121,15.460380404223145,2020-11-08T08:50:00Z,1450003,Total,Composite,11/07/2020 07:22:00,11/07/2020 18:22:00,32664,1299469.4999999998,84,103,77,92,63,75,102,78,69,<2,<2,<2,<2,<2,<2,4.8099999999999996,<5,<5,<5,<10,5.17,3.26,13.2,13.2,4.08,<5,<5,<5,<5,3.72,<4,<2,<2,<1,23.3,<2,<1,<5,12.2,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,11.5,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,7.37,7.54,<10,24.1,<4,<6,<25,<2,<2,2.8,0.25,37.7,2.9,35,25,131,1200,2,8.89,68,0.32,<0.05,6.8,0.62,<0.2,<0.2,31,230,0.91,51,2.3,3.9,0.42,7.35,4.1,480,79,9.6,280,16,38,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.199999999999999,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,5.63,2020-11-07,2020-11-07,1.3800000000000001,0.016510803386294598,0.16100361265378302,0.3981258747605368,0.40440379000893334,0.08775562243193853,0.13674019913737906,0.22518069664130003,6.2161701260892706,73.7671495991026,3.0592206651495184,3.9170522622731503,41.72282986118398
OSDEV,75,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),2659635.634525859,61.05707697659121,15.460380404223145,2020-11-08T08:50:00Z,1450004,Dissolved,Composite,11/07/2020 07:22:00,11/07/2020 18:22:00,32664,1299469.4999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,<0.2,NA,1,27,NA,NA,73,0.28000000000000003,NA,38,NA,<0.05,5.2,0.59,<0.2,<0.2,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,5.63,2020-11-07,2020-11-07,1.3800000000000001,0.016510803386294598,0.16100361265378302,0.3981258747605368,0.40440379000893334,0.08775562243193853,0.13674019913737906,0.22518069664130003,6.2161701260892706,73.7671495991026,3.0592206651495184,3.9170522622731503,41.72282986118398
OSDEV,75,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),2659635.634525859,61.05707697659121,15.460380404223145,2020-11-08T08:50:00Z,1451002,Total,Grab,NA,NA,32664,1299469.4999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,>=2500,28000,>=70000,549,9.91,8.39,14.78,26.6,NA,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,5.63,NA,NA,NA,NA,0.16100361265378302,0.3981258747605368,0.40440379000893334,0.08775562243193853,0.13674019913737906,0.22518069664130003,6.2161701260892706,73.7671495991026,NA,3.9170522622731503,41.72282986118398
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9046-2,236.8712034265638,0.00543783633871028,0.01172862015587648,2020-12-28T08:52:00Z,1522001,Total,Grab,NA,NA,5325,273016.79999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=16800,5100,>=8200,>=34000,136,NA,7.33,14.3,138,NA,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,5.63,NA,NA,NA,NA,0.28813467446026175,0.3595627386095262,0.8013474243035147,0.17389239107386267,0.13674019913737906,0.20945248925447166,5.536215861138114e-4,7.821330818193573,NA,3.488586448477153e-4,4.556081688242974
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9046-2,236.8712034265638,0.00543783633871028,0.01172862015587648,2020-12-29T09:04:00Z,1526001,Total,Grab,NA,NA,5325,273016.79999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,270,380,>=2800,930,NA,8.74,10.52,4.08,NA,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,5.63,NA,NA,NA,NA,0.28813467446026175,0.3595627386095262,0.8013474243035147,0.17389239107386267,0.13674019913737906,0.20945248925447166,5.536215861138114e-4,7.821330818193573,NA,3.488586448477153e-4,4.556081688242974
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9046-2,236.8712034265638,0.00543783633871028,0.01172862015587648,2020-12-29T09:04:00Z,1526002,Total,Composite,12/28/2020 01:29:00,12/28/2020 16:29:00,5324.7,273016.79999999993,89,101,68,100,81,102,122,72,101,<2,<2,<2,<2,<2,<2,16.899999999999999,<5,<5,6.01,<10,15.5,13.9,21,63.2,12,<5,<5,<5,<5,8.31,<4,5.94,6.26,<1,81.599999999999994,<2,70.2,<5,10.8,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,37.9,<5,<5,<5,19,<5,<2,<5,<2,<10,<5,32.4,35.9,<10,74.3,<4,<6,<25,4.99,<2,2.6,0.65,22,6.5,51,19,76.6,4800,7.7,5.29,170,0.26,<0.05,11,<0.4,<0.2,<0.2,27,290,0.64,16,1.3,5.8,0.47,7.71,1.5,210,20,15.7,100,80,210,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,5.63,2020-12-28,2020-12-28,1.9000000000000001,0.016651604642307093,0.28813467446026175,0.3595627386095262,0.8013474243035147,0.17389239107386267,0.13674019913737906,0.20945248925447166,5.536215861138114e-4,7.821330818193573,0.3622113600115992,3.488586448477153e-4,4.556081688242974
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9046-2,236.8712034265638,0.00543783633871028,0.01172862015587648,2020-12-29T09:04:00Z,1526003,Dissolved,Composite,12/28/2020 01:29:00,12/28/2020 16:29:00,5325,273016.79999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,<0.2,NA,0.51,17,NA,NA,55,0.41,NA,15,NA,<0.05,3.3,<0.4,<0.2,<0.2,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,5.63,2020-12-28,2020-12-28,1.9000000000000001,0.01665254281373322,0.28813467446026175,0.3595627386095262,0.8013474243035147,0.17389239107386267,0.13674019913737906,0.20945248925447166,5.536215861138114e-4,7.821330818193573,0.3622317674351167,3.488586448477153e-4,4.556081688242974
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572017032,3.8692385531945495,0.6986183044514689,2020-12-28T10:13:00Z,1522003,Total,Grab,NA,NA,131074,2852576.999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=1390,<9,50,2400,926,NA,6.68,15.25,108,NA,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,4.3100000000000005,NA,NA,NA,NA,0.3292064373529827,0.43090185850815593,0.7639940066462991,0.16578669944224692,0.13674019913737906,0.2158617833511241,0.3015652284705222,85.71553762870161,NA,0.19002806172335676,42.93949642614898
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572017032,3.8692385531945495,0.6986183044514689,2020-12-29T11:43:00Z,1526007,Total,Grab,NA,NA,131074,2852576.999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,3700,4800,20000,2779,NA,8.64,14.8,2.79,NA,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,4.3100000000000005,NA,NA,NA,NA,0.3292064373529827,0.43090185850815593,0.7639940066462991,0.16578669944224692,0.13674019913737906,0.2158617833511241,0.3015652284705222,85.71553762870161,NA,0.19002806172335676,42.93949642614898
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572017032,3.8692385531945495,0.6986183044514689,2020-12-29T11:43:00Z,1526008,Total,Composite,12/28/2020 01:33:00,12/29/2020 00:33:00,131073.60000000006,2852576.999999999,62,78,64,91,50,69,97,61,68,<2,<2,<2,<2,<2,<2,6.57,<5,<5,3.12,<10,9.4600000000000009,7.59,10.9,36.299999999999997,5.91,<5,<5,<5,<5,3.6,<4,<2,<2,<1,47.5,<2,<1,6.08,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,18.6,<5,<5,<5,13.4,<5,<2,<5,<2,<10,<5,13.3,16.8,<10,40.3,<4,<6,<25,<2,<2,5,3,56.2,15,47,13,214,6500,4.5,17.8,130,0.092,6.5000000000000002E-2,21,5.0999999999999996,<0.2,<0.2,16,250,0.57,78,1.8,4.6,0.33,7.62,1,780,120,16.1,430,84,310,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3999999999999995,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,4.3100000000000005,2020-12-28,2020-12-29,1.4200000000000002,0.04591293923598598,0.3292064373529827,0.43090185850815593,0.7639940066462991,0.16578669944224692,0.13674019913737906,0.2158617833511241,0.3015652284705222,85.71553762870161,9.133059403251469,0.19002806172335676,42.93949642614898
OSIRR,76,Developed Open Space,developed open space,0.217,J01-9992-1 (J01P27),168543.3572017032,3.8692385531945495,0.6986183044514689,2020-12-29T11:43:00Z,1526009,Dissolved,Composite,12/28/2020 01:33:00,12/29/2020 00:33:00,131074,2852576.999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,<0.2,NA,0.87,8.9,NA,NA,58,<0.2,NA,31,NA,<0.05,3.8,4.8,<0.2,<0.2,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,4.3100000000000005,2020-12-28,2020-12-29,1.4200000000000002,0.0459130793494466,0.3292064373529827,0.43090185850815593,0.7639940066462991,0.16578669944224692,0.13674019913737906,0.2158617833511241,0.3015652284705222,85.71553762870161,9.13308727479662,0.19002806172335676,42.93949642614898
OSIRR,76,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),47172.4446155769,1.082934648896268,0.2742119743345903,2020-11-08T08:50:00Z,1450003,Total,Composite,11/07/2020 07:22:00,11/07/2020 18:22:00,32664,1299469.4999999998,84,103,77,92,63,75,102,78,69,<2,<2,<2,<2,<2,<2,4.8099999999999996,<5,<5,<5,<10,5.17,3.26,13.2,13.2,4.08,<5,<5,<5,<5,3.72,<4,<2,<2,<1,23.3,<2,<1,<5,12.2,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,11.5,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,7.37,7.54,<10,24.1,<4,<6,<25,<2,<2,2.8,0.25,37.7,2.9,35,25,131,1200,2,8.89,68,0.32,<0.05,6.8,0.62,<0.2,<0.2,31,230,0.91,51,2.3,3.9,0.42,7.35,4.1,480,79,9.6,280,16,38,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.199999999999999,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,5.63,2020-11-07,2020-11-07,1.3800000000000001,0.016510803386294598,0.16100361265378302,0.3981258747605368,0.40440379000893334,0.08775562243193853,0.13674019913737906,0.22518069664130003,0.11025267415858829,73.7671495991026,3.0592206651495184,0.069474528202184,41.72282986118398
OSIRR,76,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),47172.4446155769,1.082934648896268,0.2742119743345903,2020-11-08T08:50:00Z,1450004,Dissolved,Composite,11/07/2020 07:22:00,11/07/2020 18:22:00,32664,1299469.4999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,<0.2,NA,1,27,NA,NA,73,0.28000000000000003,NA,38,NA,<0.05,5.2,0.59,<0.2,<0.2,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,5.63,2020-11-07,2020-11-07,1.3800000000000001,0.016510803386294598,0.16100361265378302,0.3981258747605368,0.40440379000893334,0.08775562243193853,0.13674019913737906,0.22518069664130003,0.11025267415858829,73.7671495991026,3.0592206651495184,0.069474528202184,41.72282986118398
OSIRR,76,Developed Open Space,developed open space,0.217,J07-9109-4 (J07P02),47172.4446155769,1.082934648896268,0.2742119743345903,2020-11-08T08:50:00Z,1451002,Total,Grab,NA,NA,32664,1299469.4999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,>=2500,28000,>=70000,549,9.91,8.39,14.78,26.6,NA,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,5.63,NA,NA,NA,NA,0.16100361265378302,0.3981258747605368,0.40440379000893334,0.08775562243193853,0.13674019913737906,0.22518069664130003,0.11025267415858829,73.7671495991026,NA,0.069474528202184,41.72282986118398
OSLOW,77,Open Space,open space,0.078,J01-9046-2,166929.43528075932,3.8321878558426,8.265470478981113,2020-12-28T08:52:00Z,1522001,Total,Grab,NA,NA,5325,273016.79999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=16800,5100,>=8200,>=34000,136,NA,7.33,14.3,138,NA,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,5.63,NA,NA,NA,NA,0.28813467446026175,0.3595627386095262,0.8013474243035147,0.06250509909567414,0.04985952188540935,0.20945248925447166,0.14023891458455995,7.821330818193573,NA,0.08964416962711436,4.556081688242974
